%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1554932293710342826,59607,1554932293710342826,world,-0.845881223679,-0.839089155197,0.946099042892,0.0523460097611,-0.0252608396113,-0.960266590118,-0.272964894772
1554932293910523361,59608,1554932293910523361,world,-0.845801115036,-0.839198827744,0.946241140366,0.0526887848973,-0.0246014725417,-0.959965467453,-0.274016469717
1554932293910580894,59609,1554932293910580894,world,-0.845900297165,-0.839125156403,0.946138858795,0.0520896092057,-0.0251767002046,-0.960218310356,-0.273191601038
1554932294590237416,59610,1554932294590237416,world,-0.845822572708,-0.839358568192,0.946273326874,0.0526690371335,-0.0243584979326,-0.959864854813,-0.274394273758
1554932294590322657,59611,1554932294590322657,world,-0.845773935318,-0.839475393295,0.946316719055,0.0526769310236,-0.0240476746112,-0.959660708904,-0.275133252144
1554932294590418348,59615,1554932294590418348,world,-0.845720767975,-0.839422941208,0.946299314499,0.0528649240732,-0.0241510365158,-0.959703147411,-0.274939954281
1554932294590457464,59616,1554932294590457464,world,-0.845841407776,-0.839322805405,0.946227073669,0.0525520853698,-0.0244535263628,-0.959899306297,-0.274287492037
1554932294590537751,59619,1554932294590537751,world,-0.845706939697,-0.839238405228,0.946178436279,0.0526552200317,-0.0247665848583,-0.959724724293,-0.274850070477
1554932294590586156,59620,1554932294590586156,world,-0.845440626144,-0.839402914047,0.946285009384,0.0527343824506,-0.024271003902,-0.959222137928,-0.276627957821
1554932294590638339,59622,1554932294590638339,world,-0.845465183258,-0.839373350143,0.946237564087,0.0524498857558,-0.0245039649308,-0.959300577641,-0.276389330626
1554932294590667682,59623,1554932294590667682,world,-0.845705270767,-0.839308023453,0.94621181488,0.0523878335953,-0.0244151055813,-0.959775090218,-0.274756878614
1554932294590751759,59625,1554932294590751759,world,-0.845747947693,-0.839328527451,0.946281433105,0.0524101853371,-0.0242588017136,-0.959781587124,-0.27474373579
1554932294590777979,59626,1554932294590777979,world,-0.845711946487,-0.839380741119,0.946263074875,0.0526481345296,-0.0243497621268,-0.95970582962,-0.274954527617
1554932294590837664,59627,1554932294590837664,world,-0.845704317093,-0.839390277863,0.946249246597,0.0527105927467,-0.0243497360498,-0.959711253643,-0.274924099445
1554932294610588488,59628,1554932294610588488,world,-0.845742225647,-0.839313745499,0.946217775345,0.0525005348027,-0.0246826205403,-0.95981669426,-0.27456599474
1554932294640711502,59629,1554932294640711502,world,-0.845713376999,-0.83927989006,0.946262359619,0.0525639988482,-0.0244021061808,-0.959769964218,-0.27474206686
1554932295050356560,59630,1554932295050356560,world,-0.845544099808,-0.839406013489,0.946211576462,0.0528013035655,-0.0245164968073,-0.959464669228,-0.275751024485
1554932295050437860,59631,1554932295050437860,world,-0.845485687256,-0.839421033859,0.946203708649,0.0528595745564,-0.0244495794177,-0.959440112114,-0.275831222534
1554932295050523827,59635,1554932295050523827,world,-0.845591068268,-0.83942937851,0.946201086044,0.0526063926518,-0.0246577057987,-0.959485769272,-0.27570194006
1554932295050572444,59636,1554932295050572444,world,-0.845607042313,-0.839422464371,0.946201562881,0.0525942780077,-0.0247281529009,-0.959575176239,-0.275386929512
1554932295050654338,59639,1554932295050654338,world,-0.845493793488,-0.83907365799,0.946250200272,0.0551032051444,-0.0226366948336,-0.960399091244,-0.272185117006
1554932295110580176,59640,1554932295110580176,world,-0.845419883728,-0.839485406876,0.946138381958,0.0544303432107,-0.0238455925137,-0.959873616695,-0.274064481258
1554932295119983217,59641,1554932295119983217,world,-0.845437765121,-0.839495897293,0.946149110794,0.0542764104903,-0.0237077102065,-0.959937274456,-0.273883938789
1554932295510574992,59642,1554932295510574992,world,-0.846236467361,-0.838936090469,0.946433782578,0.055364921689,-0.0213614888489,-0.961564362049,-0.26809039712
1554932295510660196,59643,1554932295510660196,world,-0.846266508102,-0.838929653168,0.946447849274,0.0555484294891,-0.0212891884148,-0.961596012115,-0.267944455147
1554932295510749896,59647,1554932295510749896,world,-0.845055341721,-0.839615345001,0.946254730225,0.0545922741294,-0.0232768785208,-0.959213793278,-0.276381850243
1554932295510805224,59648,1554932295510805224,world,-0.844674348831,-0.839811325073,0.946103572845,0.0539074465632,-0.024474978447,-0.958400249481,-0.279220283031
1554932295510884239,59651,1554932295510884239,world,-0.844034671783,-0.840246200562,0.945859670639,0.0528612434864,-0.0263903010637,-0.957014679909,-0.28395819664
1554932295510926261,59652,1554932295510926261,world,-0.844076395035,-0.840234518051,0.9458527565,0.0528690889478,-0.0263810884207,-0.957117557526,-0.283610582352
