%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1555359056797232345,21841,1555359056797232345,world,-2.90650177002,-0.818031311035,0.797075033188,-0.719649136066,0.0920057594776,-0.25948497653,0.637422800064
1555359056797285795,21842,1555359056797285795,world,-2.9064912796,-0.818107366562,0.797074079514,-0.719694018364,0.0924589782953,-0.259954214096,0.637115061283
1555359056817035990,21843,1555359056817035990,world,-2.90650558472,-0.818033695221,0.797053575516,-0.719650328159,0.0917883291841,-0.259234875441,0.63755440712
1555359056817077924,21844,1555359056817077924,world,-2.90646648407,-0.818072319031,0.796979665756,-0.719730317593,0.0925309881568,-0.259932488203,0.637072622776
1555359056827386273,21845,1555359056827386273,world,-2.90648365021,-0.818025112152,0.797053098679,-0.719740331173,0.0920832008123,-0.259358882904,0.637359917164
1555359056827431526,21846,1555359056827431526,world,-2.90597438812,-0.817779302597,0.796944856644,-0.721243917942,0.0970999598503,-0.256796091795,0.635951757431
1555359056836713570,21847,1555359056836713570,world,-2.90629482269,-0.818009853363,0.79705286026,-0.72029954195,0.0939670354128,-0.25877276063,0.63669103384
1555359056847146710,21848,1555359056847146710,world,-2.90643215179,-0.818043231964,0.797045230865,-0.71981304884,0.0923150405288,-0.259143531322,0.637331724167
1555359056857597084,21849,1555359056857597084,world,-2.90644550323,-0.818110704422,0.797014713287,-0.719700813293,0.092230848968,-0.259968787432,0.637134671211
1555359056867000133,21850,1555359056867000133,world,-2.90643596649,-0.818110227585,0.797053813934,-0.719673216343,0.0921660065651,-0.259865731001,0.637217283249
1555359056877384225,21851,1555359056877384225,world,-2.90646076202,-0.818062543869,0.797108650208,-0.719691455364,0.0920726507902,-0.25936126709,0.637415707111
1555359056887818452,21852,1555359056887818452,world,-2.90644168854,-0.818046808243,0.797065019608,-0.719718575478,0.0922451391816,-0.259500801563,0.637303292751
1555359056887860009,21853,1555359056887860009,world,-2.9064245224,-0.818033456802,0.797028779984,-0.719722509384,0.0924057066441,-0.259446144104,0.637297749519
